0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"(877.5, 1230.0)","(658.125, 1110.0)","(708.75, 930.0)","(354.375, 1380.0)","(658.125, 1110.0)","(894.375, 1200.0)","(691.875, 960.0)","(658.125, 1080.0)","(658.125, 1080.0)","(759.375, 960.0)","(725.625, 900.0)","(894.375, 1260.0)","(658.125, 1110.0)","(658.125, 1110.0)","(894.375, 1260.0)","(860.625, 1170.0)"
"(691.875, 1170.0)","(675.0, 1140.0)","(691.875, 960.0)","(354.375, 1380.0)","(675.0, 1140.0)","(708.75, 930.0)","(675.0, 990.0)","(658.125, 1110.0)","(658.125, 1080.0)","(776.25, 960.0)","(810.0, 1080.0)","(877.5, 1260.0)","(658.125, 1140.0)","(675.0, 1140.0)","(877.5, 1260.0)","(860.625, 1170.0)"
"(793.125, 1080.0)","(675.0, 1140.0)","(742.5, 960.0)","(658.125, 990.0)","(675.0, 1140.0)","(793.125, 1080.0)","(691.875, 990.0)","(759.375, 1080.0)","(691.875, 1050.0)","(793.125, 1020.0)","(810.0, 1110.0)","(810.0, 1080.0)","(776.25, 1020.0)","(776.25, 1230.0)","(860.625, 1170.0)","(877.5, 1230.0)"
"(708.75, 1020.0)","(708.75, 960.0)","(658.125, 1020.0)","(675.0, 1020.0)","(708.75, 990.0)","(691.875, 990.0)","(675.0, 1020.0)","(658.125, 1050.0)","(675.0, 1050.0)","(793.125, 1050.0)","(590.625, 1050.0)","(810.0, 1110.0)","(759.375, 1050.0)","(641.25, 1020.0)","(810.0, 1110.0)","(590.625, 1050.0)"
"(810.0, 1080.0)","(708.75, 1020.0)","(742.5, 990.0)","(658.125, 1020.0)","(691.875, 1020.0)","(691.875, 990.0)","(691.875, 1020.0)","(793.125, 1110.0)","(691.875, 1050.0)","(776.25, 1020.0)","(810.0, 1140.0)","(793.125, 1110.0)","(641.25, 1050.0)","(624.375, 1020.0)","(573.75, 1080.0)","(793.125, 1110.0)"
"(810.0, 1080.0)","(894.375, 1350.0)","(691.875, 960.0)","(658.125, 990.0)","(894.375, 1350.0)","(691.875, 990.0)","(675.0, 1020.0)","(776.25, 1050.0)","(421.875, 1470.0)","(759.375, 1020.0)","(877.5, 1290.0)","(894.375, 1260.0)","(759.375, 1050.0)","(725.625, 1050.0)","(556.875, 1110.0)","(894.375, 1260.0)"
"(894.375, 1320.0)","(894.375, 1350.0)","(708.75, 990.0)","(658.125, 1020.0)","(911.25, 1350.0)","(556.875, 1740.0)","(691.875, 1020.0)","(421.875, 1470.0)","(421.875, 1470.0)","(742.5, 990.0)","(877.5, 1290.0)","(843.75, 1170.0)","(759.375, 1050.0)","(894.375, 1320.0)","(843.75, 1140.0)","(894.375, 1260.0)"
"(894.375, 1320.0)","(894.375, 1380.0)","(742.5, 1020.0)","(675.0, 1050.0)","(894.375, 1350.0)","(556.875, 1740.0)","(691.875, 1050.0)","(742.5, 1500.0)","(421.875, 1470.0)","(725.625, 1530.0)","(877.5, 1290.0)","(793.125, 1140.0)","(894.375, 1320.0)","(725.625, 990.0)","(691.875, 1050.0)","(590.625, 1080.0)"
"(708.75, 990.0)","(894.375, 1350.0)","(708.75, 960.0)","(658.125, 1020.0)","(826.875, 1170.0)","(675.0, 990.0)","(691.875, 1020.0)","(877.5, 1320.0)","(421.875, 1470.0)","(759.375, 1020.0)","(877.5, 1290.0)","(843.75, 1170.0)","(759.375, 1020.0)","(725.625, 990.0)","(675.0, 990.0)","(894.375, 1260.0)"
"(894.375, 1320.0)","(894.375, 1380.0)","(742.5, 990.0)","(641.25, 1020.0)","(894.375, 1320.0)","(691.875, 990.0)","(691.875, 1020.0)","(725.625, 1050.0)","(691.875, 1050.0)","(776.25, 1020.0)","(776.25, 1110.0)","(843.75, 1140.0)","(759.375, 1050.0)","(641.25, 1020.0)","(556.875, 1080.0)","(877.5, 1260.0)"
"(590.625, 1050.0)","(725.625, 990.0)","(759.375, 990.0)","(675.0, 1050.0)","(573.75, 1080.0)","(691.875, 990.0)","(691.875, 1020.0)","(708.75, 1080.0)","(691.875, 1050.0)","(776.25, 1020.0)","(590.625, 1050.0)","(556.875, 1080.0)","(641.25, 1050.0)","(641.25, 1020.0)","(573.75, 1080.0)","(573.75, 1050.0)"
"(894.375, 1260.0)","(894.375, 1320.0)","(725.625, 960.0)","(658.125, 990.0)","(894.375, 1290.0)","(894.375, 1260.0)","(691.875, 990.0)","(759.375, 1080.0)","(658.125, 1110.0)","(776.25, 990.0)","(590.625, 1050.0)","(793.125, 1080.0)","(759.375, 1050.0)","(759.375, 1050.0)","(556.875, 1050.0)","(573.75, 1050.0)"
"(658.125, 1050.0)","(894.375, 1320.0)","(438.75, 1410.0)","(354.375, 1380.0)","(894.375, 1320.0)","(894.375, 1320.0)","(388.125, 1380.0)","(675.0, 1140.0)","(658.125, 1110.0)","(793.125, 1020.0)","(860.625, 1230.0)","(725.625, 1200.0)","(675.0, 1140.0)","(691.875, 1170.0)","(556.875, 1050.0)","(860.625, 1230.0)"
"(860.625, 1260.0)","(675.0, 1140.0)","(438.75, 1380.0)","(354.375, 1350.0)","(793.125, 1230.0)","(843.75, 1170.0)","(388.125, 1350.0)","(658.125, 1110.0)","(658.125, 1080.0)","(776.25, 960.0)","(793.125, 1080.0)","(877.5, 1290.0)","(658.125, 1140.0)","(708.75, 1170.0)","(894.375, 1290.0)","(810.0, 1110.0)"
"(894.375, 1230.0)","(894.375, 1260.0)","(438.75, 1380.0)","(354.375, 1350.0)","(894.375, 1230.0)","(877.5, 1170.0)","(388.125, 1350.0)","(658.125, 1080.0)","(658.125, 1080.0)","(793.125, 960.0)","(810.0, 1050.0)","(894.375, 1260.0)","(658.125, 1110.0)","(658.125, 1140.0)","(894.375, 1260.0)","(860.625, 1170.0)"
"(826.875, 1140.0)","(911.25, 1260.0)","(421.875, 1320.0)","(354.375, 1320.0)","(708.75, 1410.0)","(843.75, 1110.0)","(388.125, 1350.0)","(641.25, 1020.0)","(641.25, 1050.0)","(793.125, 960.0)","(793.125, 1020.0)","(894.375, 1230.0)","(658.125, 1080.0)","(759.375, 960.0)","(911.25, 1230.0)","(776.25, 1020.0)"
